node_source,class_domain,class_domain.class_id,property,property_id,class_range,class_range.class_id
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MaterieelDing.productie,http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by,Publicatie,https://www.iflastandards.info/fr/frbr/frbroo#F30
13,Publicatie,https://www.iflastandards.info/fr/frbr/frbroo#F30,Activiteit.uitgevoerdDoor,http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by,Agent,http://purl.org/dc/terms/Agent
13,Publicatie,https://www.iflastandards.info/fr/frbr/frbroo#F30,ExpressieCreatie.expressie,https://www.iflastandards.info/fr/frbr/frbroo#R17,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22
13,Publicatie,https://www.iflastandards.info/fr/frbr/frbroo#F30,Gebeurtenis.plaats,http://www.cidoc-crm.org/cidoc-crm/P7_took_place_at,Locatie,http://www.w3.org/ns/prov#Location
13,Publicatie,https://www.iflastandards.info/fr/frbr/frbroo#F30,Publicatie.publicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#R24,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24
13,Publicatie,https://www.iflastandards.info/fr/frbr/frbroo#F30,reverse:Rol.activiteit,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol.activiteit,Rol,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol
57,Agent,http://purl.org/dc/terms/Agent,foaf:name,http://xmlns.com/foaf/0.1/name,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
57,Agent,http://purl.org/dc/terms/Agent,prov:wasAttributedTo,http://www.w3.org/ns/prov#wasAttributedTo,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.identificator,http://www.w3.org/ns/adms#identifier,Identificator,http://www.w3.org/ns/adms#Identifier
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.isHetOnderwerpVan,http://www.cidoc-crm.org/cidoc-crm/P129i_is_subject_of,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,TypeEntiteit,http://www.w3.org/2004/02/skos/core#Concept
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.wordtGedocumenteerdDoor,http://www.cidoc-crm.org/cidoc-crm/P70i_is_documented_in,Document,http://www.cidoc-crm.org/cidoc-crm/E31_Document
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.wordtNaarVerwezenDoor,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.wordtUitgebeeldDoor,http://www.cidoc-crm.org/cidoc-crm/P62i_is_depicted_by,MaterieelDing,http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,Entiteit.wordtVoorgesteldDoor,http://www.cidoc-crm.org/cidoc-crm/P138i_has_representation,VisueelItem,http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,InformatieObject.gaatOver,http://www.cidoc-crm.org/cidoc-crm/P129_is_about,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,InformatieObject.titel,http://www.cidoc-crm.org/cidoc-crm/P102_has_title,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
60,PublicatieExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F24,InformatieObject.verwijstNaar,http://www.cidoc-crm.org/cidoc-crm/P67_refers_to,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
61,Rol,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol,Rol.agent,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol.agent,Agent,http://purl.org/dc/terms/Agent
61,Rol,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol,Rol.rol,http://www.cidoc-crm.org/cidoc-crm/P14.1_in_the_role_of,TypeRol,http://www.w3.org/2004/02/skos/core#Concept
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,Entiteit.type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,TypeEntiteit,http://www.w3.org/2004/02/skos/core#Concept
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,InformatieObject.gaatOver,http://www.cidoc-crm.org/cidoc-crm/P129_is_about,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,InformatieObject.inhoud,http://www.cidoc-crm.org/cidoc-crm/P190_has_symbolic_content,String,http://www.w3.org/2001/XMLSchema#string
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,InformatieObject.omvat,http://www.cidoc-crm.org/cidoc-crm/P165_incorporates,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,InformatieObject.titel,http://www.cidoc-crm.org/cidoc-crm/P102_has_title,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,InformatieObject.verwijstNaar,http://www.cidoc-crm.org/cidoc-crm/P67_refers_to,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,ZelfstandigeExpressie.creatie,https://www.iflastandards.info/fr/frbr/frbroo#R17i,ExpressieCreatie,https://www.iflastandards.info/fr/frbr/frbroo#F28
58,ZelfstandigeExpressie,https://www.iflastandards.info/fr/frbr/frbroo#F22,ZelfstandigeExpressie.realiseert,https://www.iflastandards.info/fr/frbr/frbroo#R9i,Werk,https://www.iflastandards.info/fr/frbr/frbroo#F1
151,Agent,http://purl.org/dc/terms/Agent,foaf:name,http://xmlns.com/foaf/0.1/name,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
151,Agent,http://purl.org/dc/terms/Agent,prov:wasAttributedTo,http://www.w3.org/ns/prov#wasAttributedTo,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity
140,Document,http://www.cidoc-crm.org/cidoc-crm/E31_Document,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
140,Document,http://www.cidoc-crm.org/cidoc-crm/E31_Document,Entiteit.identificator,http://www.w3.org/ns/adms#identifier,Identificator,http://www.w3.org/ns/adms#Identifier
140,Document,http://www.cidoc-crm.org/cidoc-crm/E31_Document,Entiteit.type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,TypeEntiteit,http://www.w3.org/2004/02/skos/core#Concept
184,ExpressieCreatie,https://www.iflastandards.info/fr/frbr/frbroo#F28,Activiteit.uitgevoerdDoor,http://www.cidoc-crm.org/cidoc-crm/P14_carried_out_by,Agent,http://purl.org/dc/terms/Agent
184,ExpressieCreatie,https://www.iflastandards.info/fr/frbr/frbroo#F28,Gebeurtenis.plaats,http://www.cidoc-crm.org/cidoc-crm/P7_took_place_at,Locatie,http://www.w3.org/ns/prov#Location
184,ExpressieCreatie,https://www.iflastandards.info/fr/frbr/frbroo#F28,Gebeurtenis.tijd,http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span,Periode,http://id.loc.gov/datatypes/edtf/EDTF
184,ExpressieCreatie,https://www.iflastandards.info/fr/frbr/frbroo#F28,reverse:Rol.activiteit,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol.activiteit,Rol,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol
137,Identificator,http://www.w3.org/ns/adms#Identifier,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
137,Identificator,http://www.w3.org/ns/adms#Identifier,Entiteit.type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,TypeEntiteit,http://www.w3.org/2004/02/skos/core#Concept
137,Identificator,http://www.w3.org/ns/adms#Identifier,Identificator.identificator,http://www.w3.org/2004/02/skos/core#notation,GetypeerdeString,http://www.w3.org/2000/01/rdf-schema#Literal
137,Identificator,http://www.w3.org/ns/adms#Identifier,Identificator.toegekendDoor,http://purl.org/dc/terms/creator,Agent,http://purl.org/dc/terms/Agent
138,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
141,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
