node_source,class_domain,class_domain.class_id,property,property_id,class_range,class_range.class_id
144,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
146,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
179,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
181,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
183,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
185,Werk,https://www.iflastandards.info/fr/frbr/frbroo#F1,Entiteit.identificator,http://www.w3.org/ns/adms#identifier,Identificator,http://www.w3.org/ns/adms#Identifier
232,Agent,http://purl.org/dc/terms/Agent,foaf:name,http://xmlns.com/foaf/0.1/name,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
232,Agent,http://purl.org/dc/terms/Agent,prov:wasAttributedTo,http://www.w3.org/ns/prov#wasAttributedTo,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity
254,Agent,http://purl.org/dc/terms/Agent,foaf:name,http://xmlns.com/foaf/0.1/name,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
254,Agent,http://purl.org/dc/terms/Agent,prov:wasAttributedTo,http://www.w3.org/ns/prov#wasAttributedTo,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity
230,Identificator,http://www.w3.org/ns/adms#Identifier,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
230,Identificator,http://www.w3.org/ns/adms#Identifier,Entiteit.type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,TypeEntiteit,http://www.w3.org/2004/02/skos/core#Concept
230,Identificator,http://www.w3.org/ns/adms#Identifier,Identificator.identificator,http://www.w3.org/2004/02/skos/core#notation,GetypeerdeString,http://www.w3.org/2000/01/rdf-schema#Literal
230,Identificator,http://www.w3.org/ns/adms#Identifier,Identificator.toegekendDoor,http://purl.org/dc/terms/creator,Agent,http://purl.org/dc/terms/Agent
329,Identificator,http://www.w3.org/ns/adms#Identifier,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
329,Identificator,http://www.w3.org/ns/adms#Identifier,Entiteit.type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,TypeEntiteit,http://www.w3.org/2004/02/skos/core#Concept
329,Identificator,http://www.w3.org/ns/adms#Identifier,Identificator.identificator,http://www.w3.org/2004/02/skos/core#notation,GetypeerdeString,http://www.w3.org/2000/01/rdf-schema#Literal
329,Identificator,http://www.w3.org/ns/adms#Identifier,Identificator.toegekendDoor,http://purl.org/dc/terms/creator,Agent,http://purl.org/dc/terms/Agent
235,Rol,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol,Rol.agent,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol.agent,Agent,http://purl.org/dc/terms/Agent
235,Rol,https://data.vlaanderen.be/ns/cultureel-erfgoed#Rol,Rol.rol,http://www.cidoc-crm.org/cidoc-crm/P14.1_in_the_role_of,TypeRol,http://www.w3.org/2004/02/skos/core#Concept
415,Agent,http://purl.org/dc/terms/Agent,foaf:name,http://xmlns.com/foaf/0.1/name,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
415,Agent,http://purl.org/dc/terms/Agent,prov:wasAttributedTo,http://www.w3.org/ns/prov#wasAttributedTo,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity
419,Agent,http://purl.org/dc/terms/Agent,foaf:name,http://xmlns.com/foaf/0.1/name,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
419,Agent,http://purl.org/dc/terms/Agent,prov:wasAttributedTo,http://www.w3.org/ns/prov#wasAttributedTo,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity
458,Agent,http://purl.org/dc/terms/Agent,foaf:name,http://xmlns.com/foaf/0.1/name,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
458,Agent,http://purl.org/dc/terms/Agent,prov:wasAttributedTo,http://www.w3.org/ns/prov#wasAttributedTo,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity
,Locatie,http://www.w3.org/ns/prov#Location,foaf:name,http://xmlns.com/foaf/0.1/name,,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,,,
,Locatie,http://www.w3.org/ns/prov#Location,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,319,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity,,,
,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity,foaf:name,http://xmlns.com/foaf/0.1/name,,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,,,
,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity,owl:sameAs,http://www.w3.org/2002/07/owl#sameAs,319,Entiteit,http://www.cidoc-crm.org/cidoc-crm/E1_CRM_Entity,,,
,StandaardEenheid,https://data.vlaanderen.be/ns/generiek#StandaardEenheid,foaf:name,http://xmlns.com/foaf/0.1/name,,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,,,
,Periode,http://id.loc.gov/datatypes/edtf/EDTF,foaf:name,http://xmlns.com/foaf/0.1/name,,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString,,,

