node_source,class_domain,class_domain.class_id,property,property_id,node_target,class_range,class_range.
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,Entiteit.beschrijving,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,1,TaalString,http://www.w3.org/1999/02/22-rdf-syntax-ns#langString
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,Entiteit.identificator,http://www.w3.org/ns/adms#identifier,2,Identificator,http://www.w3.org/ns/adms#Identifier
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,Entiteit.isHetOnderwerpVan,http://www.cidoc-crm.org/cidoc-crm/P129i_is_subject_of,3,ConceptueelDing,http://www.cidoc-crm.org/cidoc-crm/E28_Conceptual_Object
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,Entiteit.type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,4,TypeEntiteit,http://www.w3.org/2004/02/skos/core#Concept
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,Entiteit.wordtGedocumenteerdDoor,http://www.cidoc-crm.org/cidoc-crm/P70i_is_documented_in,5,Document,http://www.cidoc-crm.org/cidoc-crm/E31_Document
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,Entiteit.wordtNaarVerwezenDoor,http://www.cidoc-crm.org/cidoc-crm/P67i_is_referred_to_by,6,ConceptueelDing,http://www.cidoc-crm.org/cidoc-crm/E28_Conceptual_Object
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,Entiteit.wordtVoorgesteldDoor,http://www.cidoc-crm.org/cidoc-crm/P138i_has_representation,7,VisueelItem,http://www.cidoc-crm.org/cidoc-crm/E36_Visual_Item
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MaterieelDing.beheerder,http://www.cidoc-crm.org/cidoc-crm/P50_has_current_keeper,8,Agent,http://purl.org/dc/terms/Agent
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MaterieelDing.bestaatUit,http://www.cidoc-crm.org/cidoc-crm/P46_is_composed_of,9,MaterieelDing,http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MaterieelDing.eigenaar,http://www.cidoc-crm.org/cidoc-crm/P52_has_current_owner,10,Agent,http://purl.org/dc/terms/Agent
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MaterieelDing.isOvergedragenBijVerwerving,http://www.cidoc-crm.org/cidoc-crm/P24i_changed_ownership_through,11,Verwerving,http://www.cidoc-crm.org/cidoc-crm/E8_Acquisition
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MaterieelDing.productie,http://www.cidoc-crm.org/cidoc-crm/P108i_was_produced_by,12,Productie,http://www.cidoc-crm.org/cidoc-crm/E12_Production
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MensgemaaktObject.beeldtUit,http://www.cidoc-crm.org/cidoc-crm/P62_depicts,14,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MensgemaaktObject.conditie,http://www.cidoc-crm.org/cidoc-crm/P44_has_condition,15,Conditie,http://www.cidoc-crm.org/cidoc-crm/E3_Condition_State
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MensgemaaktObject.dimensie,http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension,16,Dimensie,http://www.cidoc-crm.org/cidoc-crm/E54_Dimension
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MensgemaaktObject.draagt,http://www.cidoc-crm.org/cidoc-crm/P128_carries,17,InformatieObject,http://www.cidoc-crm.org/cidoc-crm/E73_Information_Object
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MensgemaaktObject.locatie,http://www.cidoc-crm.org/cidoc-crm/P55_has_current_location,18,Locatie,http://www.w3.org/ns/prov#Location
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MensgemaaktObject.maaktDeelUitVan,http://www.cidoc-crm.org/cidoc-crm/P46i_forms_part_of,19,GecureerdeCollectie,http://www.cidoc-crm.org/cidoc-crm/E78_Collection
0,MensgemaaktObject,http://www.cidoc-crm.org/cidoc-crm/E22_Man-Made_Object,MensgemaaktObject.permanenteLocatie,http://www.cidoc-crm.org/cidoc-crm/P54_has_current_permanent_location,20,Locatie,http://www.w3.org/ns/prov#Location
